cellIndex	x	z	P	Q	matNum	fixed
285	42.25	1.25	8.75	0	11	false
286	42.75	1.25	8.75	0	8	false
287	43.25	1.25	8.75	0	7	false
288	43.75	1.25	8.75	0	4	false
289	44.25	1.25	8.75	0	6	false
290	44.75	1.25	8.75	0	5	false
291	45.25	1.25	8.75	0	9	false
292	45.75	1.25	8.75	0	18	false
293	46.25	1.25	8.75	0	3	false
294	46.75	1.25	8.75	0	19	false
295	47.25	1.25	8.75	0	19	false
296	47.75	1.25	8.75	0	4	false
297	48.25	1.25	8.75	0	25	false
298	48.75	1.25	8.75	0	38	false
299	49.25	1.25	8.75	0	65	false
300	49.75	1.25	8.75	0	29	false
301	0.25	1.75	8.25	0	18	true
302	0.75	1.75	8.25	0	26	false
303	1.25	1.75	8.25	0	14	false
304	1.75	1.75	8.25	0	34	false
305	2.25	1.75	8.25	0	24	false
306	2.75	1.75	8.25	0	21	false
307	3.25	1.75	8.25	0	32	false
308	3.75	1.75	8.25	0	28	false
309	4.25	1.75	8.25	0	89	false
310	4.75	1.75	8.25	0	94	false
311	5.25	1.75	8.25	0	82	false
312	5.75	1.75	8.25	0	88	false
313	6.25	1.75	8.25	0	50	false
314	6.75	1.75	8.25	0	1	false
315	7.25	1.75	8.25	0	11	false
316	7.75	1.75	8.25	0	58	false
317	8.25	1.75	8.25	0	64	false
318	8.75	1.75	8.25	0	64	false
319	9.25	1.75	8.25	0	60	false
320	9.75	1.75	8.25	0	88	false
321	10.25	1.75	8.25	0	75	false
322	10.75	1.75	8.25	0	77	false
323	11.25	1.75	8.25	0	90	false
324	11.75	1.75	8.25	0	83	false
325	12.25	1.75	8.25	0	72	false
326	12.75	1.75	8.25	0	67	false
327	13.25	1.75	8.25	0	73	false
328	13.75	1.75	8.25	0	44	false
329	14.25	1.75	8.25	0	66	false
330	14.75	1.75	8.25	0	73	false
331	15.25	1.75	8.25	0	45	false
332	15.75	1.75	8.25	0	69	false
333	16.25	1.75	8.25	0	44	false
334	16.75	1.75	8.25	0	57	false
335	17.25	1.75	8.25	0	62	false
336	17.75	1.75	8.25	0	95	false
337	18.25	1.75	8.25	0	95	false
338	18.75	1.75	8.25	0	20	false
